Category,Skills,Count
"React JS Developer Resumes","{'Programming Languages': ['C', 'R', 'HTML', 'CSS', 'Bootstrap', 'XML'], 'Web Technologies': ['SOAP', 'REST', 'XML'], 'DevOps Tools': ['Jenkins']",2
"React JS Developer Resumes","{'Programming Languages': ['C', 'SQL'",1
"React JS Developer Resumes","{'Programming Languages': ['C', 'C++', 'SQL', 'R', 'HTML'",1
"React JS Developer Resumes","{'Programming Languages': ['C', 'SQL', 'R', 'HTML', 'CSS'], 'Web Technologies': ['REST'], 'Operating Systems': ['Ubuntu']",1
"React JS Developer Resumes","{'Programming Languages': ['C', 'R', 'HTML', 'CSS', 'Bootstrap'], 'Web Technologies': ['REST'], 'Operating Systems': ['Ubuntu']",1
"React JS Developer Resumes","{'Programming Languages': ['C', 'SQL', 'R', 'HTML'",1
"React JS Developer Resumes","{'Programming Languages': ['C', 'SQL', 'R', 'HTML', 'CSS', 'Bootstrap'], 'Web Technologies': ['REST']",1
"React JS Developer Resumes","{'Programming Languages': ['C', 'SQL', 'R'",1
"React JS Developer Resumes","{'Programming Languages': ['C', 'R', 'HTML', 'CSS'",1
"React JS Developer Resumes","{'Programming Languages': ['C', 'R', 'HTML', 'CSS'], 'Web Technologies': ['REST']",1
"React JS Developer Resumes","{'Programming Languages': ['C', 'R', 'HTML', 'CSS', 'XML'], 'Web Technologies': ['XML']",1
"React JS Developer Resumes","{'Programming Languages': ['C', 'R', 'HTML'",1
"React JS Developer Resumes","{'Programming Languages': ['C', 'R', 'HTML', 'CSS', 'Bootstrap'], 'Web Technologies': ['REST'], 'Operating Systems': ['Windows 10']",1
"SQL Developer Lighting Insight","{'Programming Languages': ['C', 'SQL', 'T-SQL', 'R']",1
"SQL Developer Lighting Insight","{'Programming Languages': ['C', 'SQL', 'T-SQL', 'SAS', 'R', 'Python'], 'Databases': ['MS SQL Server 2014', 'AWS RDS (Athena)', 'MariaDB'], 'Development Tools': ['RazorSQL', 'HeidiSQL'], 'Cloud Platforms': ['AWS'], 'BI Tools': ['Tableau'], 'Domain Knowledge': ['Retail', 'BFSI'",1
"SQL Developer Lighting Insight","{'Programming Languages': ['C', 'SQL', 'R', 'Core Java'], 'Databases': ['Sybase ASE 15.7'], 'DevOps Tools': ['Putty', 'WinSCP']",1
"SQL Developer Lighting Insight","{'Programming Languages': ['C', 'SQL', 'T-SQL', 'R'], 'ETL Tools': ['SQL Server Integration Services (SSIS)'], 'Operating Systems': ['Windows 10'], 'Development Tools': ['SQL Developer']",1
"SQL Developer Lighting Insight","{'Programming Languages': ['C', 'SQL', 'T-SQL', 'SAS', 'R'], 'Reporting Tools': ['Power BI']",1
"SQL Developer Lighting Insight","{'Programming Languages': ['C', 'SQL', 'R'], 'Databases': ['Oracle 11g']",1
"SQL Developer Lighting Insight","{'Programming Languages': ['C', 'SQL', 'T-SQL', 'R'], 'Operating Systems': ['Windows 8']",1
"SQL Developer Lighting Insight","{'Programming Languages': ['C', 'SQL', 'T-SQL', 'R'], 'Operating Systems': ['Windows 7']",1
"SQL Developer Lighting Insight","{'Programming Languages': ['C', 'SQL', 'T-SQL', 'R'], 'ETL Tools': ['SQL Server Integration Services (SSIS)']",1
"SQL Developer Lighting Insight","{'Programming Languages': ['C', 'SQL', 'R'], 'Operating Systems': ['Windows XP', 'Windows 7']",1
"SQL Developer Lighting Insight","{'Programming Languages': ['C', 'SQL', 'T-SQL', 'R', 'Python'], 'Cloud Platforms': ['AWS', 'AWS Redshift']",1
"SQL Developer Lighting Insight","{'Programming Languages': ['C', 'SQL', 'T-SQL', 'R'], 'Reporting Tools': ['SQL Server Reporting Services (SSRS)'], 'ETL Tools': ['SQL Server Integration Services (SSIS)']",1
"SQL Developer Lighting Insight","{'Programming Languages': ['C', 'SQL', 'T-SQL'",1
"SQL Developer Lighting Insight","{'Programming Languages': ['C', 'SQL', 'T-SQL', 'R'], 'Development Tools': ['SQL Developer']",1
"WorkDay Resumes","{'Programming Languages': ['C', 'SQL', 'R', 'XML', 'XSLT'], 'ERP Systems and Tools': ['PeopleSoft HRMS', 'Workday HCM'], 'ETL Tools': ['Talend', 'Informatica'], 'Web Technologies': ['SOAP', 'REST', 'XML'], 'DevOps Tools': ['Putty'], 'Development Tools': ['Workday Studio'], 'Integration Tools': ['Core Connectors', 'Workday Studio', 'Component Interface']",1
"WorkDay Resumes","{'Programming Languages': ['C', 'R', 'XML', 'XSLT', 'MVEL'], 'ERP Systems and Tools': ['Workday HCM'], 'Web Technologies': ['SOAP', 'REST', 'XML'], 'Development Tools': ['Workday Studio'], 'Integration Tools': ['Core Connectors', 'Workday Studio'], 'Project Management Tools': ['Transporter']",1
"WorkDay Resumes","{'Programming Languages': ['C', 'R', 'XML', 'XSLT'], 'Databases': ['Oracle 10g'], 'ERP Systems and Tools': ['Workday HCM'], 'Web Technologies': ['XML'], 'Operating Systems': ['Windows XP', 'Windows Server 2008'], 'Development Tools': ['Workday Studio'], 'Integration Tools': ['Workday Studio'], 'Project Management Tools': ['Transporter']",1
"WorkDay Resumes","{'Programming Languages': ['C', 'SQL', 'R', 'XML', 'XSLT'], 'ERP Systems and Tools': ['PeopleSoft HRMS', 'Integration Broker', 'Application Designer'], 'Reporting Tools': ['SQR', 'PS Query', 'XML Publisher', 'Crystal Reports'], 'Web Technologies': ['XML'], 'Development Tools': ['Workday Studio'], 'Integration Tools': ['Core Connectors', 'Workday Studio', 'Component Interface', 'File Layout'], 'Domain Knowledge': ['Finance'",1
"WorkDay Resumes","{'Programming Languages': ['C', 'R'], 'ERP Systems and Tools': ['Workday HCM'], 'Integration Tools': ['Core Connectors']",1
"WorkDay Resumes","{'Programming Languages': ['C', 'R', 'HTML', 'XML', 'XSLT'], 'ERP Systems and Tools': ['Workday HCM'], 'Web Technologies': ['SOAP', 'XML', 'XSD', 'Web Services (WSDL & SOAP)'], 'Operating Systems': ['Windows XP'], 'Development Tools': ['Workday Studio'], 'Integration Tools': ['Workday Studio'], 'Project Management Tools': ['Transporter']",1
"WorkDay Resumes","{'Programming Languages': ['C', 'R', 'XML', 'XSLT'], 'ERP Systems and Tools': ['Workday HCM'], 'Web Technologies': ['SOAP', 'XML'], 'Operating Systems': ['Windows XP'], 'Development Tools': ['Workday Studio'], 'Integration Tools': ['Workday Studio'], 'Project Management Tools': ['Transporter']",1
"WorkDay Resumes","{'Programming Languages': ['C', 'R'], 'ERP Systems and Tools': ['Workday HCM']",1
"WorkDay Resumes","{'Programming Languages': ['C', 'SQL', 'R', 'XML', 'XSLT'], 'ERP Systems and Tools': ['Workday HCM'], 'ETL Tools': ['Talend', 'Informatica'], 'Web Technologies': ['SOAP', 'REST', 'XML'], 'DevOps Tools': ['Putty'], 'Development Tools': ['Workday Studio'], 'Integration Tools': ['Core Connectors', 'Workday Studio'], 'Project Management Tools': ['Transporter']",1
"WorkDay Resumes","{'Programming Languages': ['C', 'R', 'XML', 'XSLT'], 'ERP Systems and Tools': ['Workday HCM'], 'Reporting Tools': ['PS Query', 'XML Publisher', 'Crystal Reports'], 'Web Technologies': ['XML'], 'Integration Tools': ['Core Connectors', 'Component Interface', 'File Layout'], 'Project Management Tools': ['Transporter']",1
"WorkDay Resumes","{'Programming Languages': ['C', 'R', 'XML', 'XSLT'], 'ERP Systems and Tools': ['Workday HCM'], 'Reporting Tools': ['PS Query', 'XML Publisher'], 'Web Technologies': ['XML'], 'Development Tools': ['Workday Studio'], 'Integration Tools': ['EIB (Enterprise Interface Builder)', 'Core Connectors', 'Workday Studio', 'Component Interface', 'File Layout']",1
"WorkDay Resumes","{'Programming Languages': ['C', 'R'], 'Operating Systems': ['Windows 7', 'Windows 8', 'Windows 10'], 'Integration Tools': ['Core Connectors']",1
"WorkDay Resumes","{'Programming Languages': ['C', 'R', 'XML', 'XSLT'], 'ERP Systems and Tools': ['Workday HCM'], 'Web Technologies': ['XML'], 'Integration Tools': ['Core Connectors']",1
"WorkDay Resumes","{'Programming Languages': ['C', 'R', 'XML', 'XSLT'], 'ERP Systems and Tools': ['Workday HCM', 'Application Designer'], 'Web Technologies': ['SOAP', 'REST', 'XML', 'XSD', 'Web Services (WSDL & SOAP)'], 'Operating Systems': ['Windows XP'], 'Development Tools': ['Workday Studio'], 'Integration Tools': ['Core Connectors', 'Workday Studio'], 'Project Management Tools': ['Transporter']",1
"WorkDay Resumes","{'Programming Languages': ['C', 'SQL', 'R'], 'ERP Systems and Tools': ['Workday HCM'], 'Domain Knowledge': ['HCM']",1
"WorkDay Resumes","{'Programming Languages': ['C', 'R', 'XSLT'], 'ERP Systems and Tools': ['Workday HCM'], 'Integration Tools': ['Core Connectors'], 'Project Management Tools': ['ServiceNow'], 'Domain Knowledge': ['Finance'",1
"WorkDay Resumes","{'Programming Languages': ['C', 'R', 'Core Java', 'XML', 'XSLT', 'MVEL'], 'ERP Systems and Tools': ['Workday HCM'], 'Web Technologies': ['SOAP', 'REST', 'XML'], 'Development Tools': ['Workday Studio'], 'Integration Tools': ['Core Connectors', 'Workday Studio'], 'Project Management Tools': ['Transporter']",1
"WorkDay Resumes","{'Programming Languages': ['C', 'R', 'XML', 'XSLT'], 'ERP Systems and Tools': ['Workday HCM'], 'Web Technologies': ['SOAP', 'REST', 'XML'], 'Development Tools': ['Workday Studio'], 'Integration Tools': ['Core Connectors', 'Workday Studio']",1
"WorkDay Resumes","{'Programming Languages': ['C', 'SQL', 'R', 'XML', 'XSLT', 'MVEL'], 'ERP Systems and Tools': ['Workday HCM', 'Integration Broker'], 'Reporting Tools': ['SQR', 'PS Query', 'XML Publisher'], 'Web Technologies': ['SOAP', 'XML'], 'Development Tools': ['Workday Studio'], 'Integration Tools': ['Core Connectors', 'Workday Studio', 'Component Interface', 'File Layout'], 'Project Management Tools': ['Transporter'], 'Domain Knowledge': ['Finance'",1
"WorkDay Resumes","{'Programming Languages': ['C', 'R', 'XML', 'XSLT'], 'ERP Systems and Tools': ['Workday HCM'], 'Web Technologies': ['SOAP', 'XML'], 'Operating Systems': ['Windows XP'], 'Development Tools': ['Workday Studio'], 'Integration Tools': ['Core Connectors', 'Workday Studio']",1
"WorkDay Resumes","{'Programming Languages': ['C', 'R', 'XML', 'XSLT'], 'ERP Systems and Tools': ['Workday HCM'], 'Reporting Tools': ['PS Query', 'XML Publisher'], 'Web Technologies': ['XML'], 'Integration Tools': ['Component Interface', 'File Layout'], 'Project Management Tools': ['Transporter']",1
